Trace
Swept SA
A.10.52,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,1000000
Stop Frequency,640000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000,-7.54658130929923
1639000,-9.35264000300998
2278000,-12.4061052178304
2917000,-16.7287617243344
3556000,-22.3245635282902
4195000,-29.296387000059
4834000,-38.0362229748914
5473000,-49.3546577656907
6112000,-64.9282038722279
6751000,-76.3181413995162
7390000,-76.7642832867132
8029000,-75.9268057905695
8668000,-76.8753201973569
9307000,-78.3458653574695
9946000,-76.7672857689593
10585000,-77.5693221250377
11224000,-76.4614316485574
11863000,-78.5150791974078
12502000,-77.0467679026482
13141000,-77.2847809570895
13780000,-76.0837976473923
14419000,-77.6507257232448
15058000,-76.7311983992687
15697000,-77.0828814454162
16336000,-76.8877834696087
16975000,-77.445662609303
17614000,-77.7512229783065
18253000,-76.7706053388644
18892000,-77.7508031985446
19531000,-77.6263889432773
20170000,-77.9064675562859
20809000,-76.4016782521701
21448000,-77.8806174641831
22087000,-77.3706138774153
22726000,-77.4299909765023
23365000,-77.2051746066134
24004000,-78.7104900640427
24643000,-77.2826257454094
25282000,-77.6661176035838
25921000,-77.5003646570705
26560000,-77.586979924897
27199000,-77.0397633128479
27838000,-77.1727548775521
28477000,-77.4060551848977
29116000,-77.5567145112981
29755000,-76.9555479338867
30394000,-76.9448202374173
31033000,-76.6930007938458
31672000,-78.4444146392103
32311000,-77.1944566417473
32950000,-77.596424351514
33589000,-77.0684061265477
34228000,-77.1700755776703
34867000,-77.6752768830157
35506000,-77.7563304867189
36145000,-77.4748917626288
36784000,-77.5311625051075
37423000,-77.2987915012345
38062000,-76.883882385984
38701000,-76.3319943405677
39340000,-77.0637365321361
39979000,-77.6535234078066
40618000,-77.5764492721904
41257000,-77.5795280301607
41896000,-77.5263408084282
42535000,-77.2563709790839
43174000,-77.338595836763
43813000,-76.6643505786924
44452000,-77.1283457893777
45091000,-78.008160863875
45730000,-77.8609303846699
46369000,-77.3896492314943
47008000,-78.1883603392874
47647000,-78.3559218152871
48286000,-77.685850749112
48925000,-77.7232975772991
49564000,-77.1252799436659
50203000,-77.5624545069737
50842000,-78.3279877448697
51481000,-77.0832413626854
52120000,-77.9413062102034
52759000,-77.8040793959584
53398000,-77.1330615885328
54037000,-78.4157434772849
54676000,-77.3543740499562
55315000,-77.5957858726
55954000,-77.9040718205865
56593000,-77.4709687028165
57232000,-77.6101726537422
57871000,-77.2476389685503
58510000,-77.7333244700846
59149000,-77.7531586794995
59788000,-77.3255328066023
60427000,-77.6918068805675
61066000,-77.0297907928588
61705000,-77.1066170544239
62344000,-76.6175187538842
62983000,-77.7682051869714
63622000,-77.0864571350068
64261000,-76.8170208913784
64900000,-77.6148811641517
65539000,-77.6137457160519
66178000,-76.2649144864273
66817000,-77.2123642318909
67456000,-77.3640479416775
68095000,-77.8800292178662
68734000,-78.7947069689452
69373000,-77.3540732517363
70012000,-76.6329663934573
70651000,-77.1165758524131
71290000,-77.8371037882925
71929000,-76.8764285119172
72568000,-77.0280163385268
73207000,-77.8612977104015
73846000,-78.1826773443217
74485000,-78.0660345971008
75124000,-76.9724301083534
75763000,-77.6327158458588
76402000,-77.5848367089922
77041000,-77.0330041104516
77680000,-77.3019103693758
78319000,-77.8998212477816
78958000,-78.3922561887879
79597000,-77.6878108647894
80236000,-77.4271348843618
80875000,-77.4449004798927
81514000,-76.8644830408034
82153000,-78.0192034654127
82792000,-77.3149446044604
83431000,-77.1559521648837
84070000,-77.6944250192199
84709000,-77.2866518440572
85348000,-77.8585715710348
85987000,-76.7789776817794
86626000,-76.956939104489
87265000,-77.9498565752423
87904000,-77.4646025760178
88543000,-76.7916984173919
89182000,-76.9836281165841
89821000,-76.6962473444606
90460000,-77.030969564183
91099000,-77.6741248270311
91738000,-77.6537170405942
92377000,-77.989763922122
93016000,-77.76123328881
93655000,-77.345473096383
94294000,-78.1681148546432
94933000,-77.8971722881557
95572000,-77.6102458951213
96211000,-77.7430135851084
96850000,-78.2500027376905
97489000,-77.46472091448
98128000,-76.588958325722
98767000,-77.731250660616
99406000,-77.3106453561567
100045000,-76.9112704489185
100684000,-77.0774965661755
101323000,-77.6243907098168
101962000,-77.1766036237387
102601000,-77.1358923880698
103240000,-77.4018437969573
103879000,-77.711409465668
104518000,-77.9295204169116
105157000,-78.5188029518905
105796000,-77.6144989316387
106435000,-77.1727695974031
107074000,-77.9875322990152
107713000,-77.4483260851172
108352000,-77.5688004805929
