"# Channel 1"
"# Trace 3"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, +3.33803964574E-002, +0.00000000000E+000
+2.50625000000E+008, +3.43333582700E-002, +0.00000000000E+000
+2.51250000000E+008, +3.25543391443E-002, +0.00000000000E+000
+2.51875000000E+008, +3.34871230502E-002, +0.00000000000E+000
+2.52500000000E+008, +3.50257307292E-002, +0.00000000000E+000
+2.53125000000E+008, +3.24117513916E-002, +0.00000000000E+000
+2.53750000000E+008, +3.28723025588E-002, +0.00000000000E+000
+2.54375000000E+008, +3.32741113970E-002, +0.00000000000E+000
+2.55000000000E+008, +3.53253521395E-002, +0.00000000000E+000
+2.55625000000E+008, +3.60211013053E-002, +0.00000000000E+000
+2.56250000000E+008, +3.51424549460E-002, +0.00000000000E+000
+2.56875000000E+008, +3.79083003550E-002, +0.00000000000E+000
+2.57500000000E+008, +3.10950085462E-002, +0.00000000000E+000
+2.58125000000E+008, +3.48012545708E-002, +0.00000000000E+000
+2.58750000000E+008, +3.38121803737E-002, +0.00000000000E+000
+2.59375000000E+008, +3.58932305214E-002, +0.00000000000E+000
+2.60000000000E+008, +3.50675598429E-002, +0.00000000000E+000
+2.60625000000E+008, +3.76736140086E-002, +0.00000000000E+000
+2.61250000000E+008, +3.52195723598E-002, +0.00000000000E+000
+2.61875000000E+008, +3.43365022878E-002, +0.00000000000E+000
+2.62500000000E+008, +3.57012015670E-002, +0.00000000000E+000
+2.63125000000E+008, +3.90390199252E-002, +0.00000000000E+000
+2.63750000000E+008, +3.68231695941E-002, +0.00000000000E+000
+2.64375000000E+008, +3.55326210543E-002, +0.00000000000E+000
+2.65000000000E+008, +3.36866572539E-002, +0.00000000000E+000
+2.65625000000E+008, +3.57577797928E-002, +0.00000000000E+000
+2.66250000000E+008, +3.87226426200E-002, +0.00000000000E+000
+2.66875000000E+008, +3.56578841555E-002, +0.00000000000E+000
+2.67500000000E+008, +3.59241439062E-002, +0.00000000000E+000
+2.68125000000E+008, +3.53804858421E-002, +0.00000000000E+000
+2.68750000000E+008, +3.72624977689E-002, +0.00000000000E+000
+2.69375000000E+008, +3.50337853812E-002, +0.00000000000E+000
+2.70000000000E+008, +3.70087127482E-002, +0.00000000000E+000
+2.70625000000E+008, +3.84398744582E-002, +0.00000000000E+000
+2.71250000000E+008, +3.65659259501E-002, +0.00000000000E+000
+2.71875000000E+008, +3.69045577307E-002, +0.00000000000E+000
+2.72500000000E+008, +3.73354364491E-002, +0.00000000000E+000
+2.73125000000E+008, +3.65788424257E-002, +0.00000000000E+000
+2.73750000000E+008, +3.92168521453E-002, +0.00000000000E+000
+2.74375000000E+008, +3.71022016495E-002, +0.00000000000E+000
+2.75000000000E+008, +3.88609681809E-002, +0.00000000000E+000
+2.75625000000E+008, +3.58551497312E-002, +0.00000000000E+000
+2.76250000000E+008, +3.94469881885E-002, +0.00000000000E+000
+2.76875000000E+008, +3.76026115099E-002, +0.00000000000E+000
+2.77500000000E+008, +4.05204733997E-002, +0.00000000000E+000
+2.78125000000E+008, +3.74228050415E-002, +0.00000000000E+000
+2.78750000000E+008, +3.88617579609E-002, +0.00000000000E+000
+2.79375000000E+008, +3.79838594180E-002, +0.00000000000E+000
+2.80000000000E+008, +3.86478490303E-002, +0.00000000000E+000
+2.80625000000E+008, +3.79323547557E-002, +0.00000000000E+000
+2.81250000000E+008, +3.76790869485E-002, +0.00000000000E+000
+2.81875000000E+008, +4.05187920468E-002, +0.00000000000E+000
+2.82500000000E+008, +3.69115859264E-002, +0.00000000000E+000
+2.83125000000E+008, +3.71256698828E-002, +0.00000000000E+000
+2.83750000000E+008, +3.87523495288E-002, +0.00000000000E+000
+2.84375000000E+008, +3.70294742786E-002, +0.00000000000E+000
+2.85000000000E+008, +3.80683485185E-002, +0.00000000000E+000
+2.85625000000E+008, +3.97529334307E-002, +0.00000000000E+000
+2.86250000000E+008, +3.94693679537E-002, +0.00000000000E+000
+2.86875000000E+008, +3.88943080916E-002, +0.00000000000E+000
+2.87500000000E+008, +3.86720046304E-002, +0.00000000000E+000
+2.88125000000E+008, +3.87856457971E-002, +0.00000000000E+000
+2.88750000000E+008, +3.85527308097E-002, +0.00000000000E+000
+2.89375000000E+008, +3.93258674274E-002, +0.00000000000E+000
+2.90000000000E+008, +3.92658251831E-002, +0.00000000000E+000
+2.90625000000E+008, +3.92380954190E-002, +0.00000000000E+000
+2.91250000000E+008, +3.86388712390E-002, +0.00000000000E+000
+2.91875000000E+008, +3.90230070821E-002, +0.00000000000E+000
+2.92500000000E+008, +3.74245934080E-002, +0.00000000000E+000
+2.93125000000E+008, +4.20355961146E-002, +0.00000000000E+000
+2.93750000000E+008, +4.05445330955E-002, +0.00000000000E+000
+2.94375000000E+008, +3.98032426634E-002, +0.00000000000E+000
+2.95000000000E+008, +3.83152890750E-002, +0.00000000000E+000
+2.95625000000E+008, +4.10562304418E-002, +0.00000000000E+000
+2.96250000000E+008, +4.23429151532E-002, +0.00000000000E+000
+2.96875000000E+008, +3.87748948093E-002, +0.00000000000E+000
+2.97500000000E+008, +4.23113395080E-002, +0.00000000000E+000
+2.98125000000E+008, +3.74230956036E-002, +0.00000000000E+000
+2.98750000000E+008, +4.12880996192E-002, +0.00000000000E+000
+2.99375000000E+008, +4.19169933299E-002, +0.00000000000E+000
+3.00000000000E+008, +4.26813499676E-002, +0.00000000000E+000
+3.00625000000E+008, +3.99965484799E-002, +0.00000000000E+000
+3.01250000000E+008, +3.87292733019E-002, +0.00000000000E+000
+3.01875000000E+008, +4.11899810175E-002, +0.00000000000E+000
+3.02500000000E+008, +4.32203370753E-002, +0.00000000000E+000
+3.03125000000E+008, +4.04549508691E-002, +0.00000000000E+000
