Trace
Swept SA
A.10.52,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,1000000
Stop Frequency,320000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000,-7.77891606015325
1319000,-8.62305281019585
1638000,-9.76971267303866
1957000,-11.2282526002326
2276000,-13.0033438405383
2595000,-15.10184081429
2914000,-17.5082567522493
3233000,-20.2336850373891
3552000,-23.2857717776716
3871000,-26.701128685266
4190000,-30.5077953740752
4509000,-34.7871608029344
4828000,-39.6631849047599
5147000,-45.2783542198139
5466000,-51.6995231128684
5785000,-59.4954249609769
6104000,-68.5107925177083
6423000,-75.3074571519256
6742000,-76.4129242507153
7061000,-76.4616243131713
7380000,-76.9658738653881
7699000,-77.616572738774
8018000,-77.8954274821803
8337000,-77.5552354868677
8656000,-77.894708906548
8975000,-77.3031316873825
9294000,-78.2923905789045
9613000,-77.2125912787203
9932000,-77.6610689816547
10251000,-77.2380077544638
10570000,-76.849587707928
10889000,-77.0835520951698
11208000,-77.3883316681016
11527000,-76.8376137888198
11846000,-76.7231737798971
12165000,-76.4312317382436
12484000,-77.4753339177655
12803000,-77.756482984967
13122000,-76.1032984295908
13441000,-77.3502824164911
13760000,-77.7692382620875
14079000,-77.0355837992685
14398000,-76.8759306892841
14717000,-77.7892796680564
15036000,-77.1653740858116
15355000,-77.196736992908
15674000,-77.7309794178397
15993000,-77.1082506199449
16312000,-76.6360800760131
16631000,-77.3103235397265
16950000,-77.1435607355249
17269000,-76.8738851031858
17588000,-76.8693634850435
17907000,-77.3934670442692
18226000,-77.2673995544691
18545000,-77.2017596780026
18864000,-76.8604069594527
19183000,-77.5301368333458
19502000,-77.1423477020259
19821000,-77.1254720724688
20140000,-76.8544177126296
20459000,-77.4077470960654
20778000,-77.2067376165098
21097000,-77.1478490455869
21416000,-76.8056244218605
21735000,-77.2395543686115
22054000,-77.5792852133042
22373000,-76.3361368964642
22692000,-76.304960776566
23011000,-76.8173985682457
23330000,-77.597108857295
23649000,-76.8829374960193
23968000,-77.362867522782
24287000,-76.9624997900309
24606000,-77.3308887091412
24925000,-77.3643319854157
25244000,-77.1167685210672
25563000,-77.4096979244882
25882000,-77.2572429613666
26201000,-76.9883872763029
26520000,-77.5440237103545
26839000,-77.7097900800395
27158000,-77.4710356806433
27477000,-76.5632411711384
27796000,-77.44851208381
28115000,-77.4961097392397
28434000,-77.1949821070258
28753000,-77.4819374449267
29072000,-77.9100228215316
29391000,-77.1563846236008
29710000,-77.8410998474835
30029000,-77.1953937113641
30348000,-77.3781791798367
30667000,-76.9302488995279
30986000,-76.8159291237449
31305000,-77.1233734941011
31624000,-77.5431462558744
31943000,-77.2747394221503
32262000,-77.7372409130846
32581000,-78.376265390826
32900000,-77.2468831239459
33219000,-77.1893585789943
33538000,-77.2479606433443
33857000,-76.4532089409701
34176000,-76.9639295185806
34495000,-78.3115818414972
34814000,-77.2896765376316
35133000,-77.3759973294993
35452000,-77.8183133293626
35771000,-77.1313315495721
36090000,-77.7681965478418
36409000,-76.7435398622573
36728000,-77.466746022416
37047000,-77.5369935466763
37366000,-77.491574902191
37685000,-77.7145322099795
38004000,-76.9398242437216
38323000,-76.670644092873
38642000,-77.3039742124025
38961000,-77.9035766400043
39280000,-76.7039352466568
39599000,-77.9247018903284
39918000,-77.9839731024055
40237000,-77.5108257929618
40556000,-77.1437771826462
40875000,-77.4046536762032
41194000,-77.4340466515746
41513000,-76.732381361052
41832000,-77.1254537206865
42151000,-78.1522146019945
42470000,-77.7586879393383
42789000,-78.0803818633645
43108000,-78.1051651377738
43427000,-77.9686430472245
43746000,-77.7468434249614
44065000,-77.5635732762228
44384000,-77.4823414336808
44703000,-77.7098233080238
45022000,-76.9657946115923
45341000,-77.1574075510306
45660000,-78.4128452158078
45979000,-77.3556961870573
46298000,-77.8614729301013
46617000,-77.0353118504633
46936000,-78.6912973494871
47255000,-77.0936426278093
47574000,-77.5104374632648
47893000,-77.3860345666492
48212000,-76.7850973625464
48531000,-77.2909663425591
48850000,-77.0022713801389
49169000,-77.6255703571569
49488000,-77.6416565572173
49807000,-76.8551609142099
50126000,-77.1198873972521
50445000,-77.979410091147
50764000,-77.588999793801
51083000,-78.15397749288
51402000,-77.5208478818734
51721000,-77.5855020574449
52040000,-77.0351970868712
52359000,-76.8010672810776
52678000,-77.4563910883175
52997000,-78.1160573874004
53316000,-77.0867469316916
53635000,-77.1911477615044
53954000,-77.5600854961984
54273000,-77.6248324993081
54592000,-76.9213406336795
