Trace
Swept SA
A.10.52,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.001333333333
Start Frequency,1000000
Stop Frequency,3080000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000,-6.90882977353008
4079000,-22.1801395575428
7158000,-69.2407744063666
10237000,-76.5342840762985
13316000,-77.1072082417343
16395000,-77.0947569794762
19474000,-76.8735235346077
22553000,-77.59063580571
25632000,-77.4802236145166
28711000,-76.259257338236
31790000,-77.6443764673322
34869000,-78.151680247958
37948000,-76.9854996770348
41027000,-77.2814462686119
44106000,-77.2220677048694
47185000,-76.8612352594213
50264000,-78.0596485015617
53343000,-77.0327475254026
56422000,-76.6527773225746
59501000,-77.8163091830094
62580000,-77.8243965940215
65659000,-77.1125235707338
68738000,-77.3680252710666
71817000,-77.8309589783627
74896000,-77.319646432615
77975000,-77.3945815521706
81054000,-78.0667954273105
84133000,-77.2842616348781
87212000,-77.6354319221567
90291000,-78.1045493439373
93370000,-76.862813276814
96449000,-77.7675457639235
99528000,-77.5529349117948
102607000,-77.6558963907605
105686000,-76.9179477701023
108765000,-77.6042590431065
111844000,-77.4851468544351
114923000,-78.1053498697168
118002000,-78.2073477947393
121081000,-77.2941513714345
124160000,-76.5730633206306
127239000,-77.7631253088586
130318000,-76.957006283607
133397000,-77.2227940422981
136476000,-77.3606774009187
139555000,-77.1721948904089
142634000,-76.7428941148611
145713000,-76.7248177094827
148792000,-76.3288626120074
151871000,-77.6807061464596
154950000,-76.8308495613726
158029000,-76.0054013875064
161108000,-77.228829307792
164187000,-77.0603268603725
167266000,-76.1477706528306
170345000,-77.4879992022294
173424000,-76.4207423760145
176503000,-76.9022719442901
179582000,-76.189188140317
182661000,-75.5061640110777
185740000,-77.4884517419791
188819000,-76.4576067121166
191898000,-76.6163748582811
194977000,-75.639440424832
198056000,-75.719972264035
201135000,-76.0049492233722
204214000,-77.1131490958472
207293000,-76.1653861624067
210372000,-76.4911779141345
213451000,-77.3738591939948
216530000,-76.2930274985301
219609000,-76.5657618119695
222688000,-77.0854068909435
225767000,-76.5812826648063
228846000,-77.126558381066
231925000,-76.3460811150661
235004000,-76.8048407535218
238083000,-76.9660833633799
241162000,-77.5384540155031
244241000,-77.2814851957053
247320000,-77.0510159926356
250399000,-76.6967877227348
253478000,-76.9161330915126
256557000,-77.1095789298778
259636000,-77.0631752016783
262715000,-76.9902284598585
265794000,-77.1155808300859
268873000,-77.7051569673019
271952000,-77.0765420058546
275031000,-76.7634120446821
278110000,-78.0403674818206
281189000,-77.2388134911312
284268000,-78.0288482150628
287347000,-77.860626314593
290426000,-77.4510196157952
293505000,-77.7623982841353
296584000,-76.7367901812719
299663000,-76.7778167867275
302742000,-76.959376162317
305821000,-76.7594608703689
308900000,-77.1523346797813
311979000,-77.2357444433238
315058000,-76.6660467896204
318137000,-77.5407526551247
321216000,-76.9501308574585
324295000,-76.4890087099655
327374000,-77.5314793060301
330453000,-78.482058249598
333532000,-77.4527597031237
336611000,-78.1434937546674
339690000,-76.9797800981594
342769000,-77.2074619433886
345848000,-76.6066479414466
348927000,-77.3063034263866
352006000,-76.9782469984147
355085000,-77.6145774932289
358164000,-77.3027695129055
361243000,-76.9392478751258
364322000,-77.5038440083135
367401000,-77.6387577494127
370480000,-77.2917270733598
373559000,-77.2511304276726
376638000,-76.4126560478093
379717000,-78.1203380050378
382796000,-77.0147607204613
385875000,-77.2536216254822
388954000,-76.9904044867314
392033000,-76.493237305616
395112000,-77.2752727895572
398191000,-77.3463050073475
401270000,-77.4112608875072
404349000,-77.369667125509
407428000,-77.5443143592901
410507000,-76.8432917929812
413586000,-76.8277337608091
416665000,-77.1006289288098
419744000,-76.359461334104
422823000,-76.5951649432447
425902000,-77.1518668173304
428981000,-76.949723981649
432060000,-76.6633626761169
435139000,-77.1615676492909
438218000,-76.3905209441726
441297000,-76.7156014059253
444376000,-77.2753984917408
447455000,-77.5440099584721
450534000,-76.3572436394098
453613000,-76.1622969140488
456692000,-77.495838109237
459771000,-77.322626949988
462850000,-75.8844190773415
465929000,-77.009834884699
469008000,-76.0621087235455
472087000,-77.0492612946252
475166000,-76.8611610329274
478245000,-76.8649774359729
481324000,-78.2230826252888
484403000,-76.9480500292891
487482000,-77.3891821588962
490561000,-76.6873880562706
493640000,-76.6270843283168
496719000,-76.9478335732331
499798000,-76.843584004174
502877000,-77.0331959830439
505956000,-77.2203646640467
509035000,-77.2103746593183
512114000,-76.8607761843223
515193000,-76.6184347999476
518272000,-75.8169403190973
