Trace
Swept SA
A.10.52,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.001133333333
Start Frequency,1000000
Stop Frequency,2560000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000,-6.93019289507117
3559000,-17.7338160081341
6118000,-49.2734547378995
8677000,-76.8397221962323
11236000,-76.4757306829855
13795000,-77.043474776794
16354000,-77.6103213005012
18913000,-77.4028922735571
21472000,-76.9505143263513
24031000,-77.1894384222754
26590000,-76.6896567836507
29149000,-77.2581978009619
31708000,-77.0473889454786
34267000,-76.9945301079073
36826000,-77.7770086449054
39385000,-76.7111591823876
41944000,-77.5902580518541
44503000,-77.5662532329229
47062000,-77.151649606438
49621000,-77.6707012657552
52180000,-77.5780620071789
54739000,-77.5483979543467
57298000,-77.6444269007522
59857000,-78.0501652150313
62416000,-77.3104476406346
64975000,-77.964247752592
67534000,-76.9651313776602
70093000,-78.3652447925765
72652000,-77.606892959597
75211000,-77.4288576815845
77770000,-77.3752914069726
80329000,-77.611746641272
82888000,-77.0101526992525
85447000,-77.1821804704614
88006000,-77.243577347952
90565000,-77.8447872637314
93124000,-77.6418379782634
95683000,-77.0191765958337
98242000,-77.0746125169354
100801000,-77.5579677587796
103360000,-77.6230569815695
105919000,-78.2775144412643
108478000,-76.9085771766971
111037000,-76.5865942870813
113596000,-77.8512976723868
116155000,-77.4168419769998
118714000,-76.9940791612271
121273000,-77.7289780344972
123832000,-78.2672566152143
126391000,-76.7472747410654
128950000,-77.1274557421596
131509000,-76.4469491673847
134068000,-76.6080602424248
136627000,-77.3381923353752
139186000,-77.1560597193539
141745000,-77.4312742344228
144304000,-77.3185559329858
146863000,-77.9525280742212
149422000,-77.6255786937892
151981000,-77.2049401166391
154540000,-77.6070294731964
157099000,-75.6614769541708
159658000,-76.6666207085861
162217000,-76.8646923400904
164776000,-76.7951524564304
167335000,-77.2308030645812
169894000,-76.5103828711682
172453000,-76.4811603120106
175012000,-76.0098921572345
177571000,-76.4857877754293
180130000,-77.0944223367163
182689000,-76.2443761544903
185248000,-76.8712509272694
187807000,-76.7880458518313
190366000,-76.3602927482107
192925000,-76.0525539897464
195484000,-76.4093765891692
198043000,-76.8819195412643
200602000,-75.9698070917792
203161000,-76.0926647840378
205720000,-76.8214336605225
208279000,-75.7783081543313
210838000,-76.2406290863726
213397000,-77.5476766371373
215956000,-76.3267887775506
218515000,-76.970199707729
221074000,-76.7582619552534
223633000,-76.252437983145
226192000,-76.6645847993632
228751000,-76.8343639420513
231310000,-77.0033044602685
233869000,-77.1489812415841
236428000,-77.495619374336
238987000,-77.3677127873181
241546000,-77.3195855676773
244105000,-75.9071483801253
246664000,-77.3672898951962
249223000,-76.4611113348077
251782000,-77.2662987170356
254341000,-78.5355016902537
256900000,-76.7843009209732
259459000,-79.035286970324
262018000,-78.2037290207127
264577000,-77.8203530721231
267136000,-77.5802719325486
269695000,-77.3210800153872
272254000,-78.1195704637546
274813000,-77.2812784645067
277372000,-77.4697921301001
279931000,-76.973210735748
282490000,-77.8390132518552
285049000,-77.5680673795624
287608000,-77.5010053501423
290167000,-77.4789009872065
292726000,-77.4309263170304
295285000,-77.9589008935233
297844000,-76.8864663848511
300403000,-77.6810549462221
302962000,-77.5990362650508
305521000,-77.0968670063957
308080000,-77.2609640233085
310639000,-77.6426827332891
313198000,-77.5994451729306
315757000,-77.0538766829525
318316000,-77.7985077368815
320875000,-77.076333914111
323434000,-77.5086672438461
325993000,-77.0478209813596
328552000,-77.3375197272102
331111000,-77.8126115489835
333670000,-77.4078994233825
336229000,-77.232726608126
338788000,-76.6732590538154
341347000,-77.7483752504705
343906000,-77.6827422468777
346465000,-77.3492877287822
349024000,-77.6040256858458
351583000,-76.7293555865492
354142000,-77.2203938003734
356701000,-77.3200891500654
359260000,-76.9753116418572
361819000,-77.0159094513819
364378000,-77.7455052412687
366937000,-77.4546624834482
369496000,-77.3199822993676
372055000,-77.7197854604897
374614000,-77.6320581070122
377173000,-77.0853222470079
379732000,-77.5927327277418
382291000,-77.5803371278953
384850000,-77.2503021631176
387409000,-77.6839930219175
389968000,-76.7268122692297
392527000,-76.9819109109664
395086000,-77.5587825914966
397645000,-76.839036134778
400204000,-77.0572147036578
402763000,-76.3307998761332
405322000,-76.5800472575078
407881000,-76.4275206433499
410440000,-76.519336687687
412999000,-77.0754476611097
415558000,-77.4968805407995
418117000,-77.0519268755865
420676000,-77.992327055825
423235000,-77.6043076582426
425794000,-76.9140071386135
428353000,-76.395773920358
430912000,-76.7178176789837
