Trace
Swept SA
A.10.52,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.0012
Start Frequency,1000000
Stop Frequency,40000000
Average Count,0
Average Type,LogPower(Video)
RBW,360000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,360000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000,-73.7805657466919
1039000,-74.2328985813825
1078000,-73.9548265658225
1117000,-74.591146066814
1156000,-74.8404178294172
1195000,-74.4081128205454
1234000,-75.4346943362432
1273000,-76.1981190437261
1312000,-77.0105673411468
1351000,-76.582659663811
1390000,-76.4038299857988
1429000,-76.5566968460745
1468000,-76.7409742028161
1507000,-76.6474853338572
1546000,-76.4816156899902
1585000,-77.3106703508432
1624000,-78.339792564064
1663000,-78.6227233024205
1702000,-79.091622590802
1741000,-79.0396555330602
1780000,-78.8586698967094
1819000,-78.5993178037356
1858000,-78.9144276999136
1897000,-79.4157869342176
1936000,-79.1314111592141
1975000,-79.843834822835
2014000,-80.3876490798864
2053000,-80.1984505847626
2092000,-80.0446211653732
2131000,-81.5941187021155
2170000,-80.5333060298268
2209000,-80.5050603214436
2248000,-81.5893714445467
2287000,-81.483288971972
2326000,-81.3154831929776
2365000,-81.217464804131
2404000,-80.9652957546505
2443000,-81.6203275348834
2482000,-81.6105107199734
2521000,-82.1134477504974
2560000,-82.0968383578826
2599000,-82.6532231512106
2638000,-82.2265684541732
2677000,-82.5766551795149
2716000,-82.3749263406203
2755000,-82.4581835189025
2794000,-82.8892747075572
2833000,-82.7977073420354
2872000,-83.2186028437342
2911000,-83.0923230857406
2950000,-83.3660296923279
2989000,-83.3254796561999
3028000,-83.7305916414018
3067000,-84.0804537940339
3106000,-83.6318998300678
3145000,-84.3310048223479
3184000,-83.4110086158664
3223000,-83.6852414098556
3262000,-83.6989738826149
3301000,-83.762845422781
3340000,-84.9494944121011
3379000,-84.35591697461
3418000,-83.4122563637842
3457000,-84.3666502197763
3496000,-84.4233338775615
3535000,-84.3256068742051
3574000,-84.0610995596827
3613000,-84.6118536806772
3652000,-83.3981738205715
3691000,-83.7231053557917
3730000,-83.8041436707425
3769000,-84.5342323445595
3808000,-84.2418230711457
3847000,-83.8795796319725
3886000,-85.3712801857423
3925000,-84.6056526854448
3964000,-84.7613138920427
4003000,-85.3656621546505
4042000,-85.5954846644419
4081000,-85.0492694271968
4120000,-85.2610404610329
4159000,-85.7037801657239
4198000,-85.3298332486447
4237000,-84.711159973555
4276000,-85.631063272425
4315000,-85.3894313670502
4354000,-85.2204050699614
4393000,-84.9103043924128
4432000,-85.6767752336056
4471000,-85.3628455397649
4510000,-85.0640955062713
4549000,-85.3939440006
4588000,-84.9917571682002
4627000,-85.8006383293184
4666000,-85.294062395712
4705000,-85.2277408696325
4744000,-85.9750190532564
4783000,-85.2484542864032
4822000,-85.0181250007174
4861000,-85.8448081639823
4900000,-85.6345588545437
4939000,-84.8702145146301
4978000,-85.5140581572059
5017000,-85.3350725623789
5056000,-86.2628668664071
5095000,-85.8957550804696
5134000,-85.9103709241447
5173000,-85.6013340707641
5212000,-84.312620111735
5251000,-85.2734276327036
5290000,-86.1880553360982
5329000,-86.8454633896488
5368000,-85.7736072912794
5407000,-85.0099503479835
5446000,-85.5312356235949
5485000,-85.471064007183
5524000,-85.664408375764
5563000,-85.7821016650185
5602000,-85.5057703538488
5641000,-85.5221934561812
5680000,-86.5371067573452
5719000,-86.1796438220867
5758000,-85.8221151793301
5797000,-86.0918111335238
5836000,-84.7810727003593
5875000,-85.2429002545701
5914000,-85.9796954174859
5953000,-85.8080481758544
5992000,-86.0316726725369
6031000,-85.2680229679704
6070000,-85.5476551012993
6109000,-86.063860277027
6148000,-86.2799747791154
6187000,-85.8353285545917
6226000,-86.3159302292916
6265000,-86.3241458338495
6304000,-86.1673403883591
6343000,-86.280070224949
6382000,-86.4040611754001
6421000,-86.0633648997529
6460000,-85.7201999658578
6499000,-85.2544030518357
6538000,-85.069352521976
6577000,-85.7145022852844
6616000,-85.8269751528125
6655000,-85.6312085823805
6694000,-85.6301851379336
6733000,-85.8820504936732
6772000,-86.4707523476173
6811000,-85.5341701727794
6850000,-85.3774416792021
6889000,-85.935209151021
6928000,-86.563144057672
6967000,-86.3014866572493
7006000,-86.2501112608081
7045000,-85.9673884286848
7084000,-86.2166155990171
7123000,-85.9724686618938
7162000,-85.7540517611813
7201000,-85.4387225526256
7240000,-85.9850344273625
7279000,-86.5203442405483
7318000,-86.4726406072384
7357000,-86.1613628693865
7396000,-86.1439181218588
7435000,-86.3491703831763
7474000,-86.1744377110529
7513000,-85.7683542962091
7552000,-85.2063080464587
